"water_year","sub_season","season_P_sum","season_P_IQR","vpd_IQR","swc_shallow_IQR","swc_deep_IQR","swc_all_IQR","Tair_IQR","precip_IQR","precip_cov","swc_shallow_cov","swc_deep_cov","Tair_cov","vpd_avg","Tair_avg","swc_shallow_avg","swc_deep_avg","swc_all_avg"
"2004","spring",34.2900000000082,0,1.25576872555021,2.12309009299948,0.123029612617185,1.13443805499401,6.29697916666665,0,477.655911128001,36.3967316003731,1.73486876049456,21.7435258198114,2.48485204461392,22.3418660493526,4.51374284164435,5.15397677629434,4.83385980896935
"2004","summer",184.404000000058,0,1.28886892703178,3.57591825512109,0.569535047747398,2.11166872159114,4.91250000000003,0,363.633562163842,43.8849670457135,13.9689222937995,16.810506761716,2.3542693932313,25.0244454516539,5.42662679917938,5.56854190438426,5.49758435178182
"2004","winter",42.4180000000012,0,0.418305526170581,1.06876739452605,0.0266908072539103,0.517249356863287,4.32602604166667,0,344.986321020105,13.5358416344477,0.544843279105506,34.501508507964,0.771751147497451,9.79484395799236,5.76900543425913,5.11830566679968,5.4436555505294
"2005","spring",13.9660000000126,0,1.35364863356211,1.10475406570183,0.0985208172526066,0.562698811158859,9.04390625000002,0,720.370392637547,20.7088244019964,0.883677764029022,27.6799395351951,2.27310155162769,21.0117494266055,4.06715631071428,5.28590391318951,4.67653011195189
"2005","summer",259.850000000153,0,1.39385490384697,2.99809211751563,3.38213792413542,2.2212637675625,5.000625,0,300.820317051832,44.766498101503,32.5568491981988,16.1525573713918,2.40742058175191,25.9458429487179,5.95334969666441,7.23373316661703,6.59354143164072
"2005","winter",84.328000000015,0,0.488253533564497,1.45805984770834,0.0606228836510398,0.72411192046615,4.20233333333337,0,276.964090221927,15.1339231771366,0.698433742347184,30.2858919070245,0.796212929994276,11.3631110090904,6.48288638900967,5.2474394993516,5.86516294418064
"2006","spring",23.8760000000036,0,1.74622513798538,1.18486715000053,0.102460952305985,0.63752787004942,10.59796875,0,547.190449133539,28.605390103416,1.26609349121511,30.8254758067931,2.48865499239817,21.7610539284874,3.75345532121762,5.66493514752998,4.70878637484842
"2006","summer",246.888000000128,0.254000000000693,1.18244904386814,3.35743137308333,1.50906266868229,2.03518899162435,5.03718750000002,0.254000000000693,299.7073323862,34.99715416414,14.7980842782282,17.2911201745278,1.96186480730529,24.5265490058741,6.36877054772344,6.56195181081504,6.46504896738734
"2006","winter",3.81000000000208,0,0.617752715488933,0.194351943825522,0.127493370020829,0.154616709290364,5.15836979166665,0,767.56609232862,3.95660353192419,1.50020374239921,28.9074659453057,1.33601755842897,13.5242414767892,3.96793580172651,5.84361111727507,4.90577345950079
"2007","spring",24.638,0,1.2993555218852,1.31678589795573,0.147906051403651,0.739290775830271,6.93515624999997,0,506.095235145363,22.4164386422334,1.5043424653018,23.8242776656496,2.47715995017105,22.1430297751081,4.00636927086047,5.75092839229344,4.87864883157695
"2007","summer",229.1,0.254,1.26389831833575,3.26399969242969,1.22284200701953,2.07645508538672,5.57749999999998,0.254,291.931325862676,40.5109858644122,16.3498463217785,15.9543250364084,2.25331796878025,25.4719760003951,5.9334029638694,6.32824227945384,6.13082262166162
"2007","winter",38.3540000000042,0,0.796601735209455,2.54353627282943,0.0759229085598951,1.2274224962832,7.3832708333333,0,498.720298725628,27.4940238829058,0.944885824130642,46.3755544637905,1.01002970764419,10.9412643439361,5.37103528419812,5.73980330722017,5.55378594850504
"2008","spring",35.31,0,1.35269297425261,1.36082821994661,0.617952040333332,0.886887555972657,7.22473958333335,0,931.891584393237,24.7023740749663,6.45183295294382,27.7460699146016,2.4310352274727,21.0724524082569,4.15534011123896,5.99444473900402,5.07489242512149
"2008","summer",301.49,0.254,1.0113218210838,4.37063127192448,2.45537949531251,3.04366760348047,3.64333333333335,0.254,295.81162461521,38.7452178958332,22.0723400341985,13.67401541455,2.00910169086089,24.8767885168171,6.77938686919657,7.17174772237607,6.97556729578632
"2008","winter",74.17,0,0.755906837123427,2.66555174906511,0.591154482824226,1.42481594004818,7.57000520833333,0,410.38927100671,32.372997919839,8.65016358829479,43.2684105276736,1.0273434886701,11.8241127943262,7.32409826988614,6.58055299423418,6.95232563206016
"2009","spring",34.0360000000038,0,1.31297236151248,1.21010287414192,0.272376248543079,0.735098105121742,8.9300677083334,0,634.214237124819,21.7316202373769,3.59224470024564,26.2765860920471,2.28799103196861,20.9110568007569,4.28119442649443,5.76789457492175,5.02410324381596
"2009","summer",147.82400000009,0.254,1.35374169773355,2.07563345990625,0.128656033390619,1.07688720519271,5.3035416666666,0.254,291.052750960632,32.6421038348271,3.01128250823727,18.3804073072066,2.47770483218415,25.81320260181,5.01276590737238,5.66227692634559,5.33735096843873
"2009","winter",79.5020000000005,0,0.977078472442801,2.05693824828645,0.13851139714584,1.04553838477083,7.3477558139535,0,395.628184695262,25.5421771143007,3.45762214343696,34.7438480751496,1.19544033472255,13.449317563848,6.64890699648279,5.78441154323736,6.21665926986007
"2010","spring",27.9400000000026,0,1.36855564252628,2.68369624233073,3.56439614982686,2.94873425131511,9.4355798980496,0,499.74739563394,38.2421162406274,20.6819923614341,31.5005617649869,2.16086326539055,19.7145185345796,5.64249717486551,8.70296726921335,7.17273222203943
"2010","summer",233.172000000122,0,1.49455428786259,3.19742819076692,0.865166629380208,1.99324655708008,5.50364583333338,0,291.298841809022,36.9543562186597,11.7576649475816,16.5970569225131,2.28052963101753,25.8533551165461,6.01577318231926,6.39418023430797,6.20497670831361
"2010","winter",139.192000000006,0,0.65129523717937,6.44212422341409,5.399078390138,5.92250085120314,4.57645833333333,0,514.742525491387,49.017723455791,35.3602729040475,35.9576956255174,0.98869126657983,11.8781745851064,6.7381270302019,7.35792572712366,7.04802637866278
"2011","spring",18.288,0,1.34916909264574,1.24852809785807,0.0785386496809908,0.672249904669271,6.99588541666667,0,776.107733606126,21.6674368560824,1.17125282479154,24.2312045915285,2.45950061535404,21.3555144660553,3.96407976502404,5.72281596430156,4.8434478646628
"2011","summer",273.300000000124,0.254000000000347,0.999063838160662,3.18822823372266,1.32668635966015,1.97472642973502,4.57385416666665,0.254000000000347,313.892165788104,37.1202242635054,14.53035742049,15.6529921215841,2.33363778542,25.7919358961345,6.47241854120507,6.74809767687194,6.6102581090385
"2011","winter",24.3840000000039,0,0.622496962285058,1.08123630020963,0.024411865759113,0.520023545931642,6.54425,0,493.090950916645,16.17172136051,0.580032352277139,41.3817311627197,1.12796391733238,11.802420449522,4.88418851900918,5.72115703739778,5.30267277820348
