date,tree_gcc_mean,tree_gcc_sd,grass_gcc_mean,grass_gcc_sd,month,season,DOY,ppfd_in_avg,ppfd_in_sd,ppfd_in_f_avg,ppfd_in_f_sd,gpp_avg,gpp_sd,reco_avg,reco_sd,vpd_avg,vpd_sd,Tair_avg,Tair_sd,nee_avg,nee_sd,swc_2.5_10_avg,swc_2.5_10_sd,swc_5_10_avg,swc_5_10_sd,swc_15_20_avg,swc_15_20_sd,swc_25_30_avg,swc_25_30_sd,swc_45_50_avg,swc_45_50_sd,swc_60_70_avg,swc_60_70_sd,swc_90_100_avg,swc_90_100_sd,swc_130_avg,swc_130_sd,Tsoi_2.5_10_avg,Tsoi_2.5_10_sd,precip,ef_avg,ef_sd,swc_all_avg,swc_all_sd,swc_shallow_avg,swc_shallow_sd,swc_middle_avg,swc_middle_sd,swc_deep_avg,swc_deep_sd,sub_season,roll_season,tree_rcc_avg,tree_rcc_sd,grass_rcc_avg,grass_rcc_sd,modis_gcc_srm,sent_gcc_med,bulk_gcc_avg,bulk_gcc_sd,bulk_rcc_avg,bulk_rcc_sd,water_year
6/1/2014,NA,NA,NA,NA,NA,NA,152,724.7571763,804.5282762,724.7571763,804.5282762,0.368335792,0.555796484,0.575596823,0.289692843,4.00814114,1.607149671,29.14583333,6.554577038,0.207261031,0.689311171,1.944367996,0.418456112,1.360770291,0.239618902,3.607837774,0.055904442,6.146747587,0.01348286,6.818551109,0.014741648,5.831607877,0.006556171,5.804191748,0.004298629,5.159736138,0.010313105,35.81145833,7.912249471,0,0.06803648,0.273298573,4.584226315,0.121262012,3.264930912,0.14902585,NA,NA,5.903521718,0.007905076,spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
6/2/2014,NA,NA,NA,NA,NA,NA,153,691.0998175,762.1240813,691.0998175,762.1240813,0.398625626,0.628089072,0.579741224,0.23342378,4.49111931,1.801731434,30.61041667,6.840518507,0.181115598,0.714567717,1.893225595,0.405528525,1.315499834,0.231296622,3.568082203,0.056150889,6.121159488,0.015398155,6.799170031,0.016713228,5.823248911,0.005639378,5.804275388,0.004164924,5.155220072,0.004854004,36.16074479,7.733782966,0,0.091250064,0.918438187,4.55998519,0.116852054,3.22449178,0.143131158,NA,NA,5.895478601,0.007420354,spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
6/3/2014,NA,NA,NA,NA,NA,NA,154,684.2020656,773.3147403,684.2020656,773.3147403,0.373706055,0.590042859,0.667058764,0.393986066,4.260510446,1.760864303,30.45208333,6.518803558,0.29335271,0.790420519,1.85108521,0.397052181,1.274632451,0.226807902,3.527809558,0.054203067,6.097358422,0.012712112,6.785248493,0.01410668,5.814017567,0.006155816,5.803170006,0.004727513,5.145106728,0.003407619,37.02869792,7.639020567,0,0.321022296,2.189370879,4.537303554,0.114977713,3.18772141,0.141065757,NA,NA,5.886885698,0.005423673,spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
6/4/2014,NA,NA,NA,NA,NA,NA,155,719.7230863,799.838026,719.7230863,799.838026,0.322690051,0.629339013,0.706558792,0.528018197,4.436540564,1.819687537,30.33729167,6.775507122,0.383868742,0.895712243,1.833492647,0.422962608,1.247886211,0.243006562,3.490559777,0.058601837,6.070664511,0.013104018,6.769293685,0.014078279,5.806494417,0.006015436,5.801610494,0.00356608,5.14364623,0.008903954,37.01255729,8.016248345,0,0.184599893,1.038039263,4.520455997,0.122716809,3.160650787,0.150554539,NA,NA,5.880261206,0.00853417,spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
6/5/2014,NA,NA,NA,NA,NA,NA,156,714.4918944,793.8997075,714.4918944,793.8997075,0.36542937,0.646796875,0.690694879,0.376693172,4.445289752,1.795454997,30.219375,6.859614283,0.325265509,0.822517772,1.814522048,0.415121867,1.226850296,0.233184451,3.452763678,0.058940878,6.044299101,0.012672645,6.753205339,0.014898575,5.79874802,0.006462702,5.802585447,0.003141124,5.138715479,0.005486405,36.88236458,7.960558431,0,0.023276084,0.279045787,4.503961176,0.119305502,3.134608781,0.146515321,NA,NA,5.873313571,0.007129806,spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
6/6/2014,NA,NA,NA,NA,NA,NA,157,731.0242913,808.4497233,731.0242913,808.4497233,0.404342529,0.558207726,0.574531209,0.23700531,4.14364219,1.597769155,28.979375,6.57866455,0.17018868,0.63527951,1.825186805,0.422163219,1.226441063,0.235412677,3.425469026,0.06060632,6.020745661,0.012110802,6.737145846,0.014112029,5.792204928,0.006874045,5.801031241,0.005302479,5.13013471,0.005988528,36.32845313,8.079226982,0,-0.056155593,0.612770634,4.49479491,0.120544572,3.124460639,0.148065961,NA,NA,5.865129181,0.006062871,spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
6/7/2014,NA,NA,NA,NA,NA,NA,158,694.1025356,776.2917837,694.1025356,776.2917837,0.438012694,0.574999929,0.586616376,0.280057952,3.847447917,1.428451561,28.63458333,6.28787755,0.148603682,0.676729779,1.829491394,0.410328992,1.229537215,0.228793045,3.403400345,0.057623403,5.996379872,0.010909115,6.719999702,0.012672638,5.787648992,0.007413321,5.798214775,0.003732556,5.131736278,0.006817522,36.28203125,7.985597091,0,-0.117318127,1.371513841,4.487051072,0.116805979,3.114702206,0.142790412,NA,NA,5.859399937,0.007155631,spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
6/8/2014,NA,NA,NA,NA,NA,NA,159,713.7691488,793.3748921,713.7691488,793.3748921,0.496754141,0.695984968,0.468825375,0.153497385,3.412962552,1.337981152,28.25770833,5.741823507,-0.027928766,0.710141876,1.834826446,0.387390345,1.233529097,0.22276124,3.37862014,0.05132232,5.97396841,0.008779459,6.703046205,0.009752334,5.781207626,0.005939542,5.794214458,0.00524126,5.126415688,0.00283221,36.92989583,7.617755362,0,0.097930217,0.252787991,4.478228509,0.11175434,3.105236023,0.136672894,NA,NA,5.851220994,0.003391456,spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
6/9/2014,NA,NA,NA,NA,NA,NA,160,709.4626481,785.684469,709.4626481,785.684469,0.369103648,0.607336897,0.590342856,0.340966198,3.836456815,1.584885932,29.393125,6.05186525,0.221239208,0.793500296,1.827967342,0.400312903,1.225389623,0.234101821,3.356373958,0.053112756,5.95054515,0.007538117,6.687363142,0.010057989,5.775671214,0.004122259,5.796361842,0.004944393,5.126459159,0.008754506,37.22840104,7.646837911,0,0.127011802,0.169749892,4.468266429,0.117712522,3.090069018,0.143313765,NA,NA,5.846463839,0.006963404,spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
6/10/2014,NA,NA,NA,NA,NA,NA,161,715.8150906,792.7517616,715.8150906,792.7517616,0.321199072,0.519595067,0.461262497,0.266821907,3.83123685,1.568445447,29.94354167,5.98386287,0.140063425,0.642719947,1.810059494,0.389949723,1.212809548,0.220904474,3.331791117,0.0518544,5.927399358,0.011098565,6.670074015,0.012498246,5.769783783,0.00434698,5.792953518,0.004189212,5.122066068,0.006965723,37.54285417,7.606262708,0,0.095613767,0.185024402,4.454617113,0.111132659,3.070514879,0.135424657,NA,NA,5.838719346,0.00729145,spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
6/11/2014,NA,NA,NA,NA,NA,NA,162,691.7893544,790.1023976,691.7893544,790.1023976,0.384568014,0.62063125,0.574970515,0.380456466,3.799902888,1.22787271,30.61895833,4.373778852,0.190402501,0.840878434,1.816728068,0.37204412,1.217222201,0.210502623,3.313612361,0.048409012,5.900618671,0.010066711,6.651424247,0.012192551,5.762486602,0.006786576,5.788565602,0.002998437,5.118006104,0.002819924,37.93629688,7.063425576,0,-0.053267371,0.645927654,4.446082982,0.10582898,3.062045325,0.129264314,NA,NA,5.830120639,0.004414298,spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
6/12/2014,NA,NA,NA,NA,NA,NA,163,638.3318962,746.3635336,638.3318962,746.3635336,0.322252393,0.547306031,0.505849183,0.258712715,3.944151771,1.571668847,30.73,5.47613796,0.182910563,0.658966541,1.8054764,0.378232286,1.209099397,0.214891398,3.298809861,0.050908182,5.874262137,0.008956042,6.635030981,0.010644903,5.758416456,0.006992544,5.78691409,0.00524067,5.119462818,0.008015478,38.26119792,6.994670272,0,0.014791715,0.459087799,4.435934018,0.108503576,3.046911949,0.132311838,NA,NA,5.824956086,0.007160281,spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
6/13/2014,NA,NA,NA,NA,NA,NA,164,713.9522231,789.9209855,713.9522231,789.9209855,0.372085767,0.613858906,0.609138001,0.342305378,3.740285266,1.547758735,30.61208333,5.538643723,0.237052233,0.799311044,1.796239184,0.385276426,1.199577732,0.222645705,3.281035286,0.053028874,5.846160498,0.009883158,6.614915781,0.012283668,5.751910272,0.004366257,5.786551786,0.003675299,5.11316687,0.007155792,38.78895313,7.265339641,0,0.016722126,0.285298645,4.423694676,0.110928869,3.030753175,0.13466604,NA,NA,5.816636177,0.007177125,spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
6/14/2014,NA,NA,NA,NA,NA,NA,165,704.4318325,777.5680444,704.4318325,777.5680444,0.342434687,0.511596509,0.565320001,0.228656413,3.599107923,1.17517814,29.404375,4.944477214,0.222885314,0.610837917,1.815011673,0.357972317,1.202283273,0.200846851,3.268562775,0.05060594,5.817242419,0.008727926,6.59425011,0.010467842,5.746270538,0.006479069,5.784645848,0.005084079,5.108976897,0.002853395,38.08985938,6.823088792,0,-0.034589313,0.504514932,4.417155441,0.100675144,3.025775035,0.12357703,NA,NA,5.808535848,0.003623672,spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
6/15/2014,NA,NA,NA,NA,NA,NA,166,661.3643269,748.7824584,661.3643269,748.7824584,0.4414945,0.609704762,0.544239143,0.237204543,3.697067522,1.264228001,28.44208333,5.935120124,0.102744643,0.701574347,1.904748794,0.360122145,1.262262681,0.195871505,3.275769243,0.053313817,5.792317279,0.008347156,6.571533823,0.010663277,5.740665076,0.006425437,5.785163591,0.004480475,5.109216907,0.008061147,35.8169375,6.80420371,0,0.408120962,2.300909888,4.430209674,0.099117643,3.058774499,0.120432321,NA,NA,5.801644849,0.00703257,spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
6/16/2014,NA,NA,NA,NA,NA,NA,167,689.1337588,787.2543773,689.1337588,787.2543773,0.325635831,0.461150419,0.641391691,0.383613569,3.944124896,0.899327798,30.77583333,3.43266154,0.31575586,0.672799869,1.794847559,0.360611337,1.200805695,0.209577874,3.272526088,0.04704965,5.767245109,0.008766221,6.554199153,0.010879674,5.739149163,0.004258516,5.780413582,0.00375063,5.109172989,0.00397427,37.90911458,6.912428045,0,0.113392334,0.193213223,4.402294917,0.104775227,3.008856112,0.127420706,NA,NA,5.795733722,0.004529835,spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
